"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2026 13:01:40 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
11-03 13:01:40,,1023720,1437928,163660,5190648,,,,,,,1.890,1.250,0.730,5,0,,,,10,6,0,18,0
11-03 13:01:41,39.449,21.472,34.705,3.495,0,1049260,1408008,163740,5194692,40269.482,13301.652,3411.551,2121.234,64.915,90.881,6454,5398,1.890,1.250,0.730,2,1,466.392,0,0,10,5,2,18,1
11-03 13:01:42,29.240,21.243,47.983,0.750,0,1048484,1390168,163908,5212632,178453.091,12986.495,0,2147.255,0,61.978,6473,6294,1.890,1.250,0.730,7,0,339.882,0,0,10,4,2,18,2
11-03 13:01:43,38.062,19.532,41.567,0.250,0,1065208,1359932,164672,5223264,2704.384,1812.939,0,1001.624,0,46.075,5446,5423,1.890,1.250,0.730,2,0,250.406,0,0,10,4,2,18,2
11-03 13:01:44,40.196,12.733,45.189,0.250,0,1173592,1235212,165044,5361936,2773.282,1765.633,0,1462.040,0,30.958,4896,5642,1.890,1.250,0.730,1,0,78.894,0,0,11,4,2,18,2
11-03 13:01:45,24.765,5.753,68.291,0.500,0.250,1180264,1209100,165472,5379336,2521.515,1769.063,0,1424.856,0,52.031,2751,2330,1.820,1.250,0.730,2,0,69.041,0,0,11,6,2,18,2
11-03 13:01:46,40.689,9.735,47.928,1.248,0,1201480,1175516,166268,5388988,2777.855,1697.467,15.976,2963.578,0.999,118.823,3698,2334,1.820,1.250,0.730,2,0,46.930,0,0,11,6,2,18,2
11-03 13:01:47,37.826,12.024,47.345,1.253,0,1222272,1130296,166948,5410628,2825.698,1623.273,16.032,2140.316,1.002,73.148,4632,3366,1.820,1.250,0.730,2,0,170.344,0,0,11,6,2,20,2
11-03 13:01:48,45.365,4.985,48.106,0.997,0,1266312,1073020,167764,5421132,2572.319,1762.737,15.952,2915.295,0.997,74.777,3085,1931,1.820,1.250,0.730,2,0,0,0,0,11,6,2,20,2
11-03 13:01:49,42.500,3.500,53.250,0.250,0,1278100,1077052,167912,5405200,9062.930,4478.965,0,1127.991,0,15.000,2666,1400,1.820,1.250,0.730,2,0,3.000,0,0,11,4,2,20,0
11-03 13:01:50,37.811,6.761,47.327,6.260,0,1313452,1035888,168712,5410124,3010.893,2116.439,0,21534.997,0,1672.718,8588,14211,1.830,1.260,0.740,1,1,61.099,0,0,11,7,2,20,0
11-03 13:01:51,30.996,7.999,45.744,13.998,0,1308952,1028632,169556,5420192,7813.964,3542.530,0,52389.055,0,4114.455,15001,28494,1.830,1.260,0.740,7,0,54.993,0,0,11,6,2,20,0
11-03 13:01:52,42.197,8.240,45.693,2.247,0,1233376,1103468,169648,5420684,2882.380,2840.433,0,16754.957,0,991.754,5788,7323,1.830,1.260,0.740,1,0,92.883,0,0,11,5,2,20,0
11-03 13:01:53,43.056,6.008,50.065,0.250,0,1247892,1082236,170084,5425768,10369.507,3501.561,0,1558.030,0,71.093,5950,8325,1.830,1.260,0.740,4,0,6.008,0,0,11,4,2,20,0
11-03 13:01:54,45.008,8.001,44.508,0.750,0,1264508,1064928,170152,5426228,2657.457,1620.279,0,21103.632,0,425.073,8618,13124,1.830,1.260,0.740,3,0,9.002,0,0,11,4,2,20,0
11-03 13:01:55,44.477,9.495,44.227,0.250,0,1237784,1091388,170200,5426400,2578.643,1619.148,0,831.562,0,40.978,10997,18228,1.850,1.270,0.750,3,0,28.985,0,0,11,4,2,14,0
11-03 13:01:56,43.054,7.009,49.061,0.250,0,1216904,1125272,170208,5415068,4259.303,1622.020,0,1201.496,0,146.182,2960,1532,1.850,1.270,0.750,4,0,10.012,0,0,11,4,2,14,0
11-03 13:01:57,47.374,3.740,48.620,0,0,1223652,1118504,170212,5415084,2752.663,1615.694,0,3.989,0,0.997,2763,1222,1.850,1.270,0.750,5,0,18.949,0,0,11,4,2,14,0
11-03 13:01:58,12.511,18.266,67.558,0,0,1196356,1145784,170212,5415108,4143.545,1621.387,0,8.007,0,2.002,5177,3663,1.850,1.270,0.750,1,0,319.273,0,0,11,4,2,14,0
11-03 13:01:59,10.271,21.293,67.134,0,0,1121476,1220644,170212,5415132,3083.173,1623.250,0,17430.900,0,351.704,5653,4057,1.850,1.270,0.750,2,0,316.634,0,0,11,4,2,14,0
11-03 13:02:00,18.751,15.501,65.504,0,0,1116460,1225480,170212,5415624,2538.152,1532.092,0,16.001,0,4.000,6159,7329,1.860,1.280,0.750,2,0,218.013,0,0,11,4,2,14,0
11-03 13:02:01,35.401,14.709,48.615,0,0,1152872,1189052,170216,5415896,2692.503,1689.296,0,2229.791,0,131.633,4315,3568,1.860,1.280,0.750,2,0,175.511,0,0,11,5,2,14,0
11-03 13:02:02,44.758,6.001,48.758,0.250,0,1225820,1116100,170220,5415896,2700.454,1620.272,0,396.067,0,31.005,2657,1370,1.860,1.280,0.750,2,0,0,0,0,11,5,2,14,0
11-03 13:02:03,48.334,2.755,48.585,0,0,1248640,1092808,170220,5416432,2764.815,1622.826,0,316.551,0,17.030,2602,1030,1.860,1.280,0.750,2,0,0,0,0,11,5,2,14,0
11-03 13:02:04,43.216,8.693,46.693,0,0,1267040,1072644,170220,5418176,2818.496,1609.434,0,2249.233,0,63.583,2839,2742,1.860,1.280,0.750,3,0,0,0,0,11,5,2,14,0
11-03 13:02:05,14.571,8.793,76.373,0,0,1274088,1064992,170220,5418752,2652.973,1627.961,0,26714.637,0,147.722,3306,3044,1.790,1.280,0.760,0,0,118.580,0,0,11,4,2,15,0
11-03 13:02:06,22.016,5.004,72.053,0,0,1332188,1006904,170220,5418756,2641.926,1621.182,0,0,0,0,2083,1585,1.790,1.280,0.760,2,0,22.016,0,0,11,4,2,15,0
