"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","24 Feb 2026 10:45:00 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
24-02 10:45:00,,1065316,1385492,165536,5196884,,,,,,,1.620,1.070,0.640,2,0,,,,10,4,1,17,2
24-02 10:45:01,30.010,22.257,45.765,0.750,0,1074328,1365456,166092,5205824,2357.773,1694.556,0,2020.663,0,91.030,6188,4805,1.620,1.070,0.640,4,0,432.142,0,0,10,4,1,17,2
24-02 10:45:02,31.965,21.726,44.701,0.499,0,1039688,1385224,166680,5218588,2836.887,1530.321,0,1738.093,0,62.931,5684,4120,1.620,1.070,0.640,5,0,311.658,0,0,10,4,1,17,2
24-02 10:45:03,38.282,17.515,43.036,0.751,0,1031588,1371052,167584,5237860,2462.041,1695.406,0,2081.726,0,70.058,5709,5976,1.620,1.070,0.640,4,0,242.201,0,0,10,4,1,17,2
24-02 10:45:04,38.548,13.678,45.760,0.249,0,1163764,1250392,167940,5349552,9947.762,4397.906,0,1082.317,0,36.807,5216,7197,2.540,1.270,0.700,4,0,122.357,0,0,11,2,1,17,0
24-02 10:45:05,32.932,8.799,56.562,1.508,0,1182036,1232364,167964,5349444,3861.331,1628.999,16.089,36.200,1.006,6.033,3382,2433,2.540,1.270,0.700,4,0,106.589,0,0,11,4,1,17,0
24-02 10:45:06,34.409,13.215,51.365,0,0,1198808,1210624,168056,5353872,9793.214,3967.553,0,1519.998,0,18.950,4241,2783,2.540,1.270,0.700,3,0,181.522,0,0,11,6,1,17,0
24-02 10:45:07,41.689,6.740,48.180,2.496,0,1218884,1188364,168116,5355744,2516.336,1617.645,343.500,1210.238,14.978,29.956,3369,2139,2.540,1.270,0.700,3,0,36.946,0,0,11,4,1,19,0
24-02 10:45:08,39.971,5.958,52.136,0.993,0,1226616,1172484,168648,5361956,9189.770,4702.136,246.279,2415.120,7.944,24.826,2964,1751,2.540,1.270,0.700,3,0,17.875,0,0,11,4,1,19,0
