"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","27 Apr 2026 10:39:06 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
27-04 10:39:06,,1031496,1647884,163236,4982296,,,,,,,1.750,1.040,0.630,2,0,,,,10,5,0,17,0
27-04 10:39:07,19.499,19.749,58.246,0.750,0,1031612,1647240,163300,4982648,44293.063,14519.037,0,1899.874,0,60.996,5742,4500,1.750,1.040,0.630,2,0,410.973,0,0,10,6,0,17,0
27-04 10:39:08,27.423,21.689,48.862,0.249,0,1020552,1657952,163308,4983260,14299.669,9184.097,0,1188.648,0,37.893,5789,5543,1.750,1.040,0.630,5,0,354.999,0,0,10,6,0,17,0
27-04 10:39:09,30.551,17.279,50.585,0.501,0,1024864,1653176,163352,4983592,37467.742,12061.197,0,1658.778,0,50.084,5483,5767,1.750,1.040,0.630,14,0,256.429,0,0,10,5,0,17,1
27-04 10:39:10,37.780,12.510,49.039,0.250,0,1154300,1523024,163372,5108492,15762.644,10141.135,0,1140.915,0,33.026,5297,5754,1.770,1.060,0.640,1,0,78.063,0,0,11,4,0,17,2
27-04 10:39:11,27.751,8.750,61.002,1.250,0,1153868,1505960,163472,5125328,178634.833,15627.598,16.001,1636.063,1.000,47.002,3633,2592,1.770,1.060,0.640,2,0,87.003,0,0,11,6,0,17,2
27-04 10:39:12,38.903,11.970,47.881,0.499,0,1167528,1478176,164348,5136240,2622.470,1508.245,0,1500.265,0,65.836,4246,2802,1.770,1.060,0.640,2,0,145.637,0,0,11,6,0,17,2
27-04 10:39:13,40.238,7.998,47.736,2.499,0,1210700,1418580,164812,5150480,2657.199,1457.561,287.913,2167.347,12.996,52.984,3590,2523,1.770,1.060,0.640,2,0,48.985,0,0,11,6,0,19,2
27-04 10:39:14,43.096,4.510,48.859,3.508,0,1249984,1370028,165048,5158256,2363.248,1461.245,1615.588,1996.434,110.245,24.053,2961,1800,1.770,1.060,0.640,2,0,0,0,0,11,6,0,19,2
27-04 10:39:15,44.203,4.745,48.198,1.748,0,1288644,1308696,165880,5177836,2475.352,1456.442,111.880,3484.273,4.995,114.877,3301,2292,1.790,1.070,0.650,2,0,0,0,0,11,6,0,19,2
27-04 10:39:16,38.812,6.761,46.825,6.510,0,1290504,1287016,167044,5194576,2421.881,1460.340,16.026,22163.517,1.002,1646.639,9279,14732,1.790,1.070,0.650,3,0,28.045,0,0,11,8,0,17,2
27-04 10:39:17,37.009,8.002,40.260,12.253,0,1301700,1250348,168580,5216600,3017.765,1620.411,0,65956.725,0,5007.270,17461,32088,1.790,1.070,0.650,2,1,55.014,0,0,11,8,0,17,2
27-04 10:39:18,39.916,6.985,51.392,0.998,0,1255788,1288012,169136,5222996,6824.691,2832.062,0,3169.355,0,217.544,3808,2981,1.790,1.070,0.650,1,0,74.843,0,0,11,7,0,17,2
27-04 10:39:19,43.473,4.747,50.218,0.250,0,1283832,1277416,169156,5205912,4520.143,2911.160,0,1710.918,0,150.905,2878,1636,1.790,1.070,0.650,2,0,1.999,0,0,11,4,0,17,0
