"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","20 May 2026 17:47:25 UTC"
"system","total usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
"time","total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","used","free","buf","cach","net/total:recv","net/total:send","dsk/total:read","dsk/total:writ","read","writ","int","csw","1m","5m","15m","run","blk","new","in","out","lis","act","syn","tim","clo"
20-05 17:47:25,,941824,1728316,163300,4991536,,,,,,,1.150,0.840,0.540,3,0,,,,10,2,0,17,0
20-05 17:47:26,53.544,23.659,21.916,0.249,0,986232,1663396,164224,5008632,2408.737,1452.415,7.969,1605.825,0.996,13.946,5922,4058,1.150,0.840,0.540,3,0,425.364,0,0,10,2,0,17,0
20-05 17:47:27,55.097,21.037,24.293,0,0,1023728,1622780,164368,5011532,8761.397,4365.672,0,689.211,0,13.023,5564,5141,1.150,0.840,0.540,3,0,358.630,0,0,10,3,0,17,0
20-05 17:47:28,30.549,16.026,52.334,0,0,1008248,1638444,164404,5011296,239101.943,12215.718,0,312.504,0,13.021,5480,5116,1.150,0.840,0.540,4,0,219.354,0,0,10,4,0,17,0
20-05 17:47:29,25.492,10.747,62.731,0,0,1011688,1634984,164408,5010868,6033.145,3011.074,0,447.862,0,5.998,3968,4537,1.150,0.840,0.540,3,0,95.970,0,0,10,4,0,17,0
20-05 17:47:30,16.503,7.001,75.263,0.250,0.250,1117500,1528484,164460,5136208,18863.284,5950.036,0,712.124,0,19.003,2998,2893,1.060,0.830,0.540,2,0,73.013,0,0,11,7,0,17,0
20-05 17:47:31,32.264,7.003,59.025,0.750,0,1129896,1515708,164576,5136364,35089.741,10816.544,16.007,1192.501,1.000,44.018,3111,1873,1.060,0.830,0.540,3,0,45.019,0,0,11,8,0,17,0
20-05 17:47:32,28.723,10.990,57.946,1.748,0,1128656,1515940,164764,5136976,23729.953,14454.571,99.907,2110.040,7.993,63.941,4196,3321,1.060,0.830,0.540,2,0,169.842,0,0,11,7,0,19,1
20-05 17:47:33,35.270,3.752,55.281,5.003,0,1185836,1456020,164892,5139120,16094.056,9196.175,1668.939,2153.212,113.064,49.028,2800,1926,1.060,0.830,0.540,1,0,0,0,0,11,7,0,19,1
20-05 17:47:34,35.502,4.250,57.003,3.000,0,1226072,1413696,165168,5140504,34139.669,9628.471,244.012,2220.109,7.000,42.002,2308,1452,1.060,0.830,0.540,3,0,0,0,0,11,7,0,19,1
20-05 17:47:35,35.745,3.499,57.241,2.250,0,1243444,1377968,165564,5157680,187281.933,15913.615,15.998,6159.077,1.000,392.941,3991,4564,1.140,0.850,0.550,3,0,9.999,0,0,11,8,0,19,2
20-05 17:47:36,35.237,6.747,44.483,11.746,0,1246344,1353480,167556,5175184,5595.861,1499.427,0,45774.506,0,3465.675,13237,25391,1.140,0.850,0.550,4,0,51.980,0,0,11,8,0,13,2
20-05 17:47:37,37.532,5.254,43.286,12.010,0,1154252,1439076,168148,5180272,2734.305,1513.276,0,35305.761,0,2270.914,8411,15076,1.140,0.850,0.550,2,0,33.028,0,0,11,6,0,13,2
20-05 17:47:38,42.747,7.500,48.247,0.500,0,1195848,1381720,168504,5194004,2777.816,1457.903,0,2363.843,0,145.990,3592,2513,1.140,0.850,0.550,2,0,62.996,0,0,11,6,0,13,2
20-05 17:47:39,42.714,4.746,45.462,6.245,0,1243116,1316296,168888,5210440,2775.680,1456.783,0,26329.997,0,771.355,3245,2060,1.140,0.850,0.550,2,0,0.999,0,0,11,6,0,13,2
20-05 17:47:40,45.792,4.254,47.543,1.752,0,1258200,1289988,169632,5219308,2557.332,1459.331,0,9616.771,0,483.441,3735,3464,1.200,0.870,0.560,3,0,0,0,0,11,6,0,13,2
20-05 17:47:41,44.198,5.743,48.194,0.749,0,1231832,1291624,170328,5241320,2415.182,1456.301,0,1921.758,0,69.918,3194,2056,1.200,0.870,0.560,3,0,9.988,0,0,11,6,0,13,2
20-05 17:47:42,52.522,7.503,39.266,0.500,0,1261868,1250580,170924,5250068,2719.118,1458.600,0,1512.622,0,56.023,3797,16867,1.200,0.870,0.560,4,0,36.015,0,0,11,6,0,14,2
20-05 17:47:43,47.036,4.003,48.287,0.250,0,1252444,1275484,171044,5234484,3224.442,1939.469,0,404.306,0,14.011,2756,1284,1.200,0.870,0.560,4,0,3.002,0,0,11,4,0,14,0
20-05 17:47:44,29.006,18.754,51.011,0,0,1221352,1306516,171072,5234520,8219.724,3634.762,0,588.123,0,9.002,5391,4134,1.200,0.870,0.560,3,0,356.075,0,0,11,5,0,13,0
20-05 17:47:45,31.231,22.487,45.223,0,0,1224896,1296392,171148,5240412,4334.417,1696.989,0,959.428,0,14.991,5864,4340,1.270,0.880,0.560,3,0,361.784,0,0,11,4,0,13,0
20-05 17:47:46,40.475,13.742,45.222,0.250,0,1241684,1279560,171148,5240416,7972.088,3558.807,0,407.749,0,4.997,5741,6606,1.270,0.880,0.560,3,0,141.913,0,0,11,5,0,13,0
20-05 17:47:47,52.730,12.495,26.240,6.997,0,1248652,1257996,171540,5253820,4131.399,2577.001,7701.015,1603.378,77.970,46.982,7440,10162,1.270,0.880,0.560,4,0,129.950,0,0,11,5,0,13,0
20-05 17:47:48,68.009,9.501,22.003,0,0,1296732,1209256,171604,5254284,4218.537,1458.186,0,1008.128,0,7.001,7407,9671,1.270,0.880,0.560,7,0,9.001,0,0,11,5,0,12,0
20-05 17:47:49,65.359,7.763,21.536,3.506,0,1315080,1190132,171696,5254892,2722.532,1460.431,20.033,292.487,4.007,3.005,11167,18071,1.270,0.880,0.560,4,0,13.022,0,0,11,5,0,12,0
20-05 17:47:50,63.330,12.467,23.936,0,0,1273556,1243576,171716,5244136,2787.535,1454.106,490.686,12829.644,3.989,167.551,3838,1899,1.410,0.920,0.580,6,0,7.979,0,0,11,5,0,12,0
20-05 17:47:51,69.446,8.775,21.561,0,0,1314888,1199980,171768,5246312,2605.339,1462.119,0,140.395,0,4.011,4471,4905,1.410,0.920,0.580,4,0,25.071,0,0,11,5,0,12,0
20-05 17:47:52,20.718,9.735,68.643,0,0,1325508,1189324,171768,5246348,2653.853,1455.725,0,3.994,0,0.998,3296,2581,1.410,0.920,0.580,1,0,167.738,0,0,11,4,0,12,0
20-05 17:47:53,19.474,4.993,74.402,0,0,1376080,1138740,171784,5246348,2474.739,1456.082,0,2257.026,0,13.982,1981,1630,1.410,0.920,0.580,4,0,22.970,0,0,11,4,0,12,0
20-05 17:47:54,23.523,2.753,73.321,0,0,1414680,1100140,171784,5246348,4095.990,1459.422,0,4.004,0,1.001,1724,1249,1.410,0.920,0.580,1,0,0,0,0,11,4,0,12,0
20-05 17:47:55,24.499,2.000,72.248,0,0,1420472,1094116,171784,5246580,2374.933,1457.959,0,16735.526,0,165.995,1765,1113,1.370,0.920,0.580,1,0,0,0,0,11,4,0,12,0
20-05 17:47:56,24.497,2.000,71.242,1.500,0,1425760,1088716,171840,5246636,2357.743,1457.841,0,2735.701,0,273.970,3775,5105,1.370,0.920,0.580,2,0,1.000,0,0,11,4,0,14,0
20-05 17:47:57,19.749,6.000,72.748,1.000,0,1352864,1161600,171844,5246644,2357.940,1457.963,0,259.993,0,13.000,2147,1648,1.370,0.920,0.580,0,1,41.999,0,0,11,4,0,14,0
20-05 17:47:58,18.736,1.499,73.445,5.246,0,1370408,1143480,171984,5247040,2296.284,1456.911,371.722,0,12.990,0,1427,997,1.370,0.920,0.580,2,0,0,0,0,11,4,0,14,0
20-05 17:47:59,19.022,2.753,76.838,0.751,0,1390700,1123092,172028,5247064,6445.406,5617.454,0,2322.669,0,100.115,2496,2635,1.370,0.920,0.580,1,0,2.002,0,0,11,17,0,14,0
20-05 17:48:00,8.495,1.999,72.206,15.740,0,1388988,1124656,172036,5247160,2433.503,1457.103,95.941,21019.068,23.985,138.915,1303,1418,1.340,0.920,0.580,0,1,0,0,0,11,17,0,14,0
20-05 17:48:01,17.232,1.498,75.423,4.495,0,1391280,1122136,172076,5247308,7006.804,5808.035,171.824,547.438,41.957,9.990,2028,1818,1.340,0.920,0.580,2,0,1.998,0,0,11,28,0,15,0
20-05 17:48:02,20.754,6.001,73.264,0,0,1406736,1106660,172084,5247316,2478.461,1458.271,0,112.021,0,6.001,2211,1609,1.340,0.920,0.580,1,0,43.008,0,0,11,28,0,15,0
20-05 17:48:03,18.986,1.999,77.693,0.250,0,1430056,1083208,172084,5247448,7018.833,5796.733,0,35.974,0,3.997,1696,1256,1.340,0.920,0.580,1,0,0,0,0,11,29,0,15,0
20-05 17:48:04,19.555,8.775,69.948,0,0,1422612,1090632,172084,5247468,5410.281,4249.001,0,12.034,0,3.008,3390,2605,1.340,0.920,0.580,2,0,156.442,0,0,11,28,0,16,0
20-05 17:48:05,43.716,7.244,49.212,0,0.250,1438116,1075120,172084,5247476,2539.046,1402.920,0,1498.847,0,14.988,2625,1439,1.400,0.940,0.590,2,0,0,0,0,11,28,0,16,0
20-05 17:48:06,36.512,4.502,57.770,0,0,1470320,1042904,172084,5247484,10678.622,9349.171,0,196.067,0,10.003,3222,2610,1.400,0.940,0.590,2,0,0,0,0,11,30,0,16,0
20-05 17:48:07,37.949,3.995,56.923,0.499,0,1478156,1034840,172104,5247692,13866.197,12042.670,0,711.036,0,56.923,6510,8463,1.400,0.940,0.590,3,0,0,0,0,11,28,0,17,0
20-05 17:48:08,55.336,28.544,16.526,0,0,1449056,1063868,172104,5247732,2722.222,1460.265,0,196.304,0,20.031,5464,4452,1.400,0.940,0.590,9,0,531.825,0,0,11,28,0,17,0
20-05 17:48:09,86.697,13.242,0,0,0.500,1606792,906124,172108,5247736,2864.248,1565.043,0,139.914,0,5.996,4900,2691,1.400,0.940,0.590,6,0,53.967,0,0,11,28,0,17,0
20-05 17:48:10,87.846,10.512,0.751,0,0,1746304,766540,172112,5247760,16335.896,15197.649,0,56726.143,0,709.778,5895,3996,1.770,1.020,0.620,5,0,0,0,0,11,32,0,17,0
20-05 17:48:11,79.920,7.243,12.238,0,0,1786224,726500,172124,5247968,21682.239,19532.397,0,2541.449,0,142.857,6869,7906,1.770,1.020,0.620,6,0,0,0,0,11,32,0,19,0
20-05 17:48:12,68.359,11.518,19.782,0.250,0,1689404,823252,172148,5248020,16986.119,15189.251,0,2443.902,0,60.096,7342,8735,1.770,1.020,0.620,3,0,150.240,0,0,11,28,0,23,0
20-05 17:48:13,27.206,11.232,60.402,0.250,0,1493468,1019148,172180,5248028,2653.679,1455.630,0,3630.089,0,190.689,3364,3096,1.770,1.020,0.620,2,0,159.740,0,0,11,28,0,20,0
20-05 17:48:14,18.498,2.250,77.990,0,0,1486644,1025964,172180,5248036,6775.118,5482.286,0,167.978,0,6.999,1921,1649,1.770,1.020,0.620,2,0,0,0,0,11,29,0,20,0
20-05 17:48:15,18.780,3.506,76.624,0.250,0,1426968,1085616,172196,5248044,5497.884,4501.274,0,1141.845,0,59.095,2985,3202,1.700,1.020,0.620,1,0,30.049,0,0,11,28,0,21,0
